,ID,Date,Region,City,Category,Product,Qty,UnitPrice,TotalPrice
61,ID00348,25-Feb,West,Bellevue,Cookies,Oatmeal Raisin,55.0,3.0,714.0
62,ID00502,27-Jul,Northeast,Quincy,Beverages,Carrot,69.0,2.0,282.0
63,ID00314,9-Nov,West,Fremont,Beverages,Carrot,278.0,2.0,683.0
64,ID00495,28-Jan,West,Hesperia,Beverages,Carrot,208.0,1.0,609.0
65,ID07481,21-Nov,South,Memphis,Crackers,Whole Wheat,121.0,3.0,89.0
66,ID07422,19-Feb,West,Mesa,Crackers,Whole Wheat,42.0,3.0,531.0
67,ID00125,22-Jan,South,Wilmington,Snacks,Pretzels,147.0,2.0,465.0
68,ID00033,10-Feb,Midwest,Warren,Crackers,Whole Wheat,202.0,2.0,618.0
69,ID00115,1-Apr,South,Little Rock,Bread and bakery products,Carrot,168.0,2.0,311.0
70,ID00485,8-Mar,Northeast,Woodbridge,Bars,Banana,118.0,2.0,627.0
71,ID00253,22-Apr,West,Lakewood,Bread and bakery products,Carrot,66.0,2.0,368.0
72,ID07381,13-Feb,West,Honolulu,Bars,Carrot,138.0,3.0,473.0
73,ID00086,23-Jan,South,Frisco,Cookies,Arrowroot,26.0,2.0,60.0
74,ID00361,6-Jun,West,El Monte,Snacks,Pretzels,293.0,1.0,703.0
75,ID00375,1-Oct,Northeast,Bridgeport,Beverages,Carrot,218.0,2.0,412.0
76,ID00485,23-Mar,West,Vacaville,Beverages,Carrot,181.0,2.0,715.0
77,ID00322,21-Dec,Midwest,Fargo,Cookies,Oatmeal Raisin,27.0,2.0,261.0
78,ID00267,14-Jan,South,Denton,Cookies,Oatmeal Raisin,214.0,2.0,528.0
79,ID07581,27-Jul,West,Chandler,Snacks,Potato Chips,85.0,2.0,125.0
80,ID00510,15-Jun,West,Goodyear,Prepared and preserved foods,Carrot,293.0,1.0,788.0
81,ID00285,1-Sep,South,Miami Gardens,Snacks,Potato Chips,167.0,3.0,724.0
82,ID07594,11-Aug,West,Rancho Cucamonga,Crackers,Whole Wheat,59.0,1.0,87.0
83,ID00485,28-Oct,Midwest,Dearborn,Cookies,Oatmeal Raisin,113.0,3.0,228.0
84,ID07384,26-Aug,South,Houston,Cookies,Chocolate Chip,136.0,2.0,241.0
85,ID00314,4-Jan,Midwest,Lee's Summit,Bars,Banana,216.0,2.0,312.0
86,ID00249,31-May,West,Santa Clara,Cookies,Arrowroot,184.0,2.0,576.0
87,ID00121,27-Jul,Midwest,Independence,Crackers,Whole Wheat,118.0,2.0,196.0
88,ID07435,5-Jan,South,Corpus Christi,Bars,Carrot,25.0,3.0,340.0
89,ID07527,28-Feb,Northeast,Rochester,Bars,Carrot,124.0,3.0,605.0
90,ID00455,15-Nov,West,Hesperia,Snacks,Potato Chips,181.0,2.0,340.0
91,ID00261,15-Feb,Northeast,Hartford,Snacks,Pretzels,240.0,1.0,352.0
92,ID00087,5-Jan,South,Hollywood,Snacks,Potato Chips,136.0,2.0,121.0
93,ID07567,1-May,West,Reno,Bars,Bran,194.0,3.0,370.0
94,ID07559,6-Feb,West,Modesto,Bars,Bran,164.0,1.0,449.0
95,ID07477,5-Aug,West,Santa Ana,Crackers,Whole Wheat,34.0,2.0,75.0
96,ID00041,24-Jul,South,Macon,Bars,Banana,216.0,1.0,646.0
97,ID07510,19-Apr,West,Moreno Valley,Cookies,Arrowroot,237.0,2.0,555.0
98,ID00453,12-Jul,Northeast,Cambridge,Bread and bakery products,Carrot,137.0,1.0,464.0
99,ID07362,11-Mar,South,Miami,Cookies,Chocolate Chip,301.0,2.0,810.0
100,ID00252,26-Aug,South,Mesquite,Bread and bakery products,Carrot,84.0,1.0,286.0
101,ID00443,22-Apr,South,Lakeland,Beverages,Carrot,225.0,1.0,297.0
102,ID00457,18-Feb,West,Centennial,Beverages,Carrot,107.0,1.0,186.0
103,ID00089,13-Feb,South,Athens,Cookies,Arrowroot,133.0,2.0,244.0
104,ID00053,14-Aug,West,Fullerton,Cookies,Oatmeal Raisin,43.0,3.0,289.0
105,ID00385,4-Jan,West,El Cajon,Bread and bakery products,Carrot,253.0,2.0,588.0
106,ID07580,10-Oct,Midwest,Wichita,Bars,Bran,119.0,1.0,129.0
107,ID00206,25-Sep,South,Killeen,Snacks,Pretzels,238.0,3.0,789.0
108,ID00491,9-Jun,West,Longmont,Snacks,Pretzels,137.0,1.0,413.0
109,ID00096,13-Oct,Midwest,Cincinnati,Snacks,Pretzels,76.0,2.0,122.0
110,ID00003,22-Sep,West,Henderson,Bars,Bran,300.0,2.0,742.0
111,ID00457,3-Jun,South,Tyler,Cookies,Arrowroot,163.0,2.0,537.0
112,ID00318,21-Nov,South,Abilene,Cookies,Oatmeal Raisin,235.0,1.0,321.0
113,ID00327,16-Sep,West,Sunnyvale,Snacks,Pretzels,87.0,2.0,203.0
114,ID07440,18-Nov,Midwest,Saint Paul,Cookies,Arrowroot,244.0,2.0,406.0
115,ID00490,13-Apr,South,Allen,Beverages,Carrot,301.0,1.0,808.0
116,ID00361,23-Mar,West,Ontario,Beverages,Carrot,46.0,2.0,254.0
117,ID00084,3-Feb,West,Orange,Snacks,Pretzels,175.0,1.0,625.0
118,ID07524,16-Apr,South,Hialeah,Snacks,Potato Chips,65.0,2.0,104.0
119,ID07570,6-Dec,South,Laredo,Snacks,Pretzels,50.0,2.0,160.0
120,ID00427,30-Nov,Northeast,Manchester,Snacks,Pretzels,113.0,1.0,163.0
121,ID00476,19-Oct,West,Daly City,Prepared and preserved foods,Carrot,303.0,2.0,797.0
122,ID07513,10-Sep,Midwest,Cincinnati,Cookies,Chocolate Chip,23.0,2.0,37.0
123,ID07536,4-Feb,South,El Paso,Snacks,Potato Chips,31.0,2.0,66.0
124,ID00089,2-Mar,South,Huntsville,Cookies,Oatmeal Raisin,218.0,2.0,601.0
125,ID00399,10-May,South,Wilmington,Prepared and preserved foods,Carrot,220.0,3.0,780.0
126,ID00492,4-Apr,South,Tyler,Beverages,Carrot,256.0,2.0,766.0
127,ID00355,30-Nov,West,Victorville,Crackers,Whole Wheat,237.0,2.0,520.0
128,ID07411,7-Feb,West,San Jose,Crackers,Whole Wheat,27.0,3.0,191.0
129,ID00485,1-Apr,West,Boulder,Prepared and preserved foods,Carrot,230.0,1.0,613.0
130,ID07377,28-Sep,Midwest,Columbus,Cookies,Arrowroot,182.0,3.0,591.0
131,ID00219,1-May,South,Columbia,Snacks,Potato Chips,119.0,3.0,735.0
132,ID00257,20-Mar,South,Carrollton,Snacks,Pretzels,280.0,2.0,600.0
133,ID07431,23-Jan,West,Portland,Bars,Carrot,108.0,3.0,341.0
134,ID07419,20-Jan,Midwest,Wichita,Bars,Carrot,71.0,3.0,322.0
135,ID07460,14-Jan,South,New Orleans,Bars,Carrot,275.0,1.0,423.0
136,ID07392,28-Oct,South,Baltimore,Cookies,Chocolate Chip,286.0,2.0,454.0
137,ID00066,15-Jun,South,Savannah,Cookies,Oatmeal Raisin,224.0,1.0,459.0
138,ID00055,15-Jun,West,Salt Lake City,Snacks,Potato Chips,289.0,2.0,730.0
139,ID00479,12-Jun,West,Clovis,Bars,Banana,146.0,2.0,587.0
140,ID00009,18-Dec,West,Reno,Cookies,Arrowroot,259.0,2.0,535.0
141,ID07508,13-Sep,South,Baton Rouge,Cookies,Chocolate Chip,96.0,2.0,225.0
142,ID07486,19-Feb,West,Albuquerque,Snacks,Potato Chips,121.0,2.0,401.0
143,ID00256,21-Jun,South,Savannah,Bars,Banana,217.0,2.0,330.0
144,ID00510,27-Feb,Midwest,Davenport,Prepared and preserved foods,Carrot,44.0,2.0,184.0
145,ID00214,14-Jan,South,Murfreesboro,Snacks,Potato Chips,35.0,1.0,137.0
146,ID00165,12-Feb,West,Downey,Snacks,Potato Chips,147.0,2.0,326.0
147,ID00023,2-Aug,West,Vancouver,Cookies,Arrowroot,254.0,2.0,531.0
148,ID00158,16-Oct,Midwest,Des Moines,Cookies,Oatmeal Raisin,126.0,2.0,440.0
149,ID00507,25-Sep,West,Rio Rancho,Prepared and preserved foods,Carrot,218.0,3.0,755.0
150,ID07448,25-Sep,South,Tulsa,Cookies,Chocolate Chip,22.0,3.0,90.0
151,ID00065,1-Jan,Midwest,Cedar Rapids,Snacks,Potato Chips,240.0,2.0,733.0
152,ID00271,30-Jun,West,West Jordan,Cookies,Oatmeal Raisin,90.0,1.0,235.0
153,ID00410,31-Jan,West,Chico,Prepared and preserved foods,Carrot,262.0,1.0,706.0
154,ID07451,20-Aug,West,Sacramento,Crackers,Whole Wheat,36.0,3.0,299.0
155,ID07419,24-Feb,South,Charlotte,Cookies,Oatmeal Raisin,204.0,2.0,191.0
156,ID00118,25-Oct,West,Roseville,Crackers,Whole Wheat,259.0,2.0,664.0
157,ID07414,22-Jan,Northeast,Jersey City,Cookies,Oatmeal Raisin,279.0,3.0,782.0
158,ID00468,15-Jul,Midwest,Lee's Summit,Snacks,Pretzels,194.0,2.0,332.0
159,ID00520,4-May,West,San Mateo,Beverages,Carrot,106.0,2.0,404.0
160,ID00265,18-Feb,Midwest,Fargo,Bars,Banana,209.0,3.0,441.0
161,ID00070,25-Feb,Midwest,Grand Rapids,Crackers,Whole Wheat,28.0,3.0,69.0
162,ID07562,5-Aug,South,Plano,Cookies,Oatmeal Raisin,270.0,2.0,781.0
163,ID00250,16-Jan,West,Thousand Oaks,Bread and bakery products,Carrot,254.0,2.0,609.0
164,ID07363,20-Aug,West,Phoenix,Bars,Carrot,92.0,2.0,279.0
165,ID00450,2-Mar,West,El Cajon,Beverages,Carrot,299.0,1.0,746.0
166,ID07382,16-Sep,South,Charlotte,Cookies,Arrowroot,281.0,3.0,781.0
167,ID00099,23-Aug,South,Mobile,Cookies,Oatmeal Raisin,86.0,2.0,130.0
168,ID00040,16-Apr,South,McAllen,Cookies,Chocolate Chip,198.0,2.0,409.0
169,ID00295,18-Jun,Midwest,Peoria,Snacks,Potato Chips,288.0,2.0,764.0
170,ID00421,1-Sep,West,Rio Rancho,Bread and bakery products,Carrot,29.0,2.0,155.0
171,ID00396,12-Dec,West,Bellevue,Cookies,Oatmeal Raisin,128.0,3.0,573.0
172,ID00333,1-Feb,Northeast,Lakewood,Beverages,Carrot,183.0,2.0,464.0
173,ID00110,27-Jul,West,Lancaster,Bars,Banana,221.0,3.0,650.0
174,ID07377,28-Feb,West,Bakersfield,Bars,Carrot,74.0,3.0,169.0
175,ID00202,31-Oct,West,West Jordan,Cookies,Oatmeal Raisin,54.0,2.0,61.0
176,ID00374,19-Apr,West,Downey,Bread and bakery products,Carrot,46.0,2.0,109.0
177,ID00496,7-Jan,West,Ventura,Beverages,Carrot,154.0,3.0,547.0
178,ID00103,9-Jul,Midwest,Dayton,Snacks,Pretzels,253.0,3.0,802.0
179,ID07408,12-Dec,South,Washington,Cookies,Chocolate Chip,175.0,2.0,438.0
180,ID00377,28-Sep,West,Pueblo,Bread and bakery products,Carrot,87.0,2.0,351.0
181,ID00266,12-Dec,West,Eugene,Snacks,Potato Chips,164.0,2.0,217.0
182,ID07468,30-Dec,West,Anaheim,Cookies,Arrowroot,167.0,2.0,478.0
183,ID00489,18-Feb,West,Rio Rancho,Beverages,Carrot,165.0,2.0,643.0
184,ID00388,19-Sep,West,Simi Valley,Cookies,Oatmeal Raisin,174.0,3.0,387.0
185,ID00041,4-Sep,South,Knoxville,Snacks,Potato Chips,184.0,1.0,409.0
186,ID00068,2-Mar,South,Murfreesboro,Bars,Bran,82.0,2.0,128.0
187,ID00306,24-Nov,South,Pearland,Snacks,Pretzels,174.0,2.0,439.0
188,ID00138,28-Apr,West,Huntington Beach,Prepared and preserved foods,Carrot,82.0,3.0,258.0
189,ID07432,27-Nov,Midwest,Des Moines,Crackers,Whole Wheat,160.0,2.0,117.0
190,ID00076,22-Sep,South,Carrollton,Bars,Banana,241.0,2.0,642.0
191,ID00320,25-Sep,West,Ventura,Cookies,Oatmeal Raisin,205.0,2.0,768.0
192,ID07492,14-Jan,South,Tulsa,Crackers,Whole Wheat,77.0,2.0,226.0
193,ID00314,3-Jul,South,Lafayette,Bars,Banana,171.0,2.0,348.0
194,ID00160,28-Oct,South,Jackson,Snacks,Potato Chips,243.0,1.0,209.0
195,ID00471,13-Oct,Northeast,Woodbridge,Beverages,Carrot,298.0,1.0,693.0
196,ID00524,10-Feb,Midwest,Fishers,Bread and bakery products,Carrot,152.0,3.0,232.0
197,ID00486,31-May,West,Simi Valley,Beverages,Carrot,302.0,2.0,815.0
198,ID00447,22-Jan,Northeast,New Bedford,Prepared and preserved foods,Carrot,179.0,2.0,369.0
199,ID07578,16-May,West,Peoria,Snacks,Potato Chips,104.0,3.0,70.0
200,ID00004,5-Aug,South,Brownsville,Snacks,Potato Chips,121.0,3.0,606.0
201,ID07540,30-Nov,West,Honolulu,Bars,Carrot,41.0,2.0,279.0
202,ID00215,12-Jun,South,Denton,Bread and bakery products,Carrot,80.0,3.0,107.0
203,ID07420,12-Dec,South,Laredo,Cookies,Chocolate Chip,105.0,2.0,164.0
204,ID07548,23-Mar,South,Shreveport,Snacks,Potato Chips,169.0,1.0,161.0
205,ID00099,18-Jul,West,Lancaster,Cookies,Arrowroot,24.0,3.0,326.0
206,ID00015,23-Jan,West,Stockton,Bread and bakery products,Carrot,225.0,2.0,681.0
207,ID07538,8-Jan,South,St. Petersburg,Cookies,Arrowroot,96.0,2.0,302.0
208,ID00307,18-Feb,West,Sparks,Prepared and preserved foods,Carrot,128.0,1.0,111.0
209,ID00367,3-Feb,South,High Point,Beverages,Carrot,300.0,1.0,736.0
210,ID00040,23-Jan,West,Lakewood,Snacks,Potato Chips,303.0,2.0,810.0
211,ID00205,2-Aug,South,Frisco,Cookies,Oatmeal Raisin,204.0,3.0,393.0
212,ID00522,22-Oct,Northeast,New Bedford,Beverages,Carrot,136.0,1.0,371.0
213,ID00117,12-Feb,West,Spokane Valley,Snacks,Potato Chips,92.0,1.0,228.0
214,ID00347,8-Mar,West,Inglewood,Bars,Banana,173.0,1.0,167.0
215,ID07553,16-Apr,Midwest,Toledo,Crackers,Whole Wheat,306.0,2.0,813.0
216,ID07526,18-Dec,South,Denton,Crackers,Whole Wheat,32.0,2.0,132.0
217,ID07584,15-Dec,Midwest,Des Moines,Snacks,Pretzels,127.0,3.0,210.0
218,ID00118,1-Sep,South,Knoxville,Snacks,Pretzels,138.0,1.0,219.0
219,ID00031,7-Apr,Midwest,Toledo,Cookies,Arrowroot,257.0,2.0,533.0
220,ID07465,10-Apr,South,Baton Rouge,Bars,Bran,281.0,2.0,633.0
221,ID00249,15-Feb,West,Fort Collins,Snacks,Pretzels,241.0,3.0,689.0
222,ID00264,4-Oct,Midwest,Cedar Rapids,Beverages,Carrot,158.0,2.0,700.0
223,ID00380,4-May,West,Rio Rancho,Snacks,Pretzels,110.0,2.0,291.0
224,ID00327,28-May,Midwest,Sterling Heights,Bread and bakery products,Carrot,107.0,1.0,106.0
225,ID00440,12-Nov,South,Sandy Springs,Snacks,Potato Chips,68.0,3.0,222.0
226,ID07388,18-Dec,West,Irvine,Bars,Carrot,141.0,2.0,99.0
227,ID00486,19-Sep,Northeast,Lynn,Snacks,Potato Chips,293.0,2.0,796.0
228,ID00240,15-Jul,West,Concord,Cookies,Chocolate Chip,49.0,3.0,332.0
229,ID00467,16-May,West,Hesperia,Bars,Bran,141.0,2.0,134.0
230,ID00073,4-May,West,Bellevue,Snacks,Pretzels,178.0,3.0,763.0
231,ID00063,30-Jul,Northeast,Worcester,Cookies,Arrowroot,193.0,2.0,364.0
232,ID07594,1-Feb,South,El Paso,Snacks,Pretzels,146.0,2.0,534.0
233,ID07524,6-Jul,West,Tacoma,Cookies,Chocolate Chip,109.0,3.0,125.0
234,ID00233,8-Mar,Midwest,Rockford,Prepared and preserved foods,Carrot,193.0,2.0,506.0
235,ID00076,31-May,Midwest,Fort Wayne,Bread and bakery products,Carrot,223.0,2.0,542.0
236,ID00332,27-Feb,Northeast,Edison,Bars,Banana,278.0,1.0,780.0
237,ID07388,7-Jan,South,Dallas,Cookies,Oatmeal Raisin,220.0,2.0,637.0
238,ID00140,4-Sep,Midwest,Cincinnati,Prepared and preserved foods,Carrot,85.0,2.0,376.0
239,ID00087,22-Sep,West,Rancho Cucamonga,Cookies,Oatmeal Raisin,193.0,3.0,686.0
240,ID07451,28-Jan,West,Anaheim,Snacks,Potato Chips,46.0,3.0,591.0
241,ID00073,18-Jul,South,Little Rock,Cookies,Chocolate Chip,91.0,2.0,550.0
242,ID00497,13-May,West,Hesperia,Prepared and preserved foods,Carrot,274.0,2.0,656.0
243,ID00431,15-Jun,South,Lafayette,Snacks,Pretzels,113.0,1.0,208.0
244,ID07554,3-Jun,West,Oxnard,Cookies,Chocolate Chip,90.0,1.0,64.0
245,ID00160,6-Jul,West,Santa Clarita,Snacks,Potato Chips,46.0,3.0,159.0
246,ID07504,31-May,South,Amarillo,Bars,Bran,202.0,1.0,651.0
247,ID00448,12-Jul,West,San Mateo,Bread and bakery products,Carrot,239.0,1.0,343.0
248,ID07512,16-Oct,West,Vancouver,Bars,Carrot,112.0,3.0,381.0
249,ID00460,16-May,Midwest,Green Bay,Beverages,Carrot,273.0,1.0,487.0
250,ID00432,10-Feb,South,Beaumont,Bars,Banana,38.0,2.0,334.0
251,ID07461,10-Oct,South,Lubbock,Crackers,Whole Wheat,205.0,2.0,259.0
252,ID00219,15-Jul,South,Fort Lauderdale,Cookies,Oatmeal Raisin,129.0,3.0,494.0
253,ID07579,3-Dec,West,Tempe,Crackers,Whole Wheat,79.0,3.0,152.0
254,ID07577,22-May,South,Frisco,Snacks,Potato Chips,27.0,1.0,40.0
255,ID00004,13-Sep,West,Spokane,Cookies,Oatmeal Raisin,175.0,2.0,402.0
256,ID07500,2-Mar,West,San Jose,Bars,Bran,104.0,1.0,72.0
257,ID00509,22-Jan,Midwest,Dearborn,Beverages,Carrot,144.0,3.0,549.0
258,ID00525,7-Jan,Midwest,Carmel,Beverages,Carrot,278.0,1.0,744.0
259,ID00285,22-May,South,Killeen,Snacks,Potato Chips,160.0,2.0,440.0
260,ID00353,4-Apr,West,Westminster,Bread and bakery products,Carrot,146.0,2.0,353.0
261,ID00383,27-Dec,South,Clarksville,Bars,Banana,247.0,2.0,411.0
262,ID07369,25-Sep,Northeast,New York,Cookies,Chocolate Chip,123.0,3.0,402.0
263,ID00263,15-Feb,South,Waco,Prepared and preserved foods,Carrot,298.0,1.0,745.0
264,ID07480,27-Dec,South,Charlotte,Snacks,Potato Chips,28.0,2.0,59.0
265,ID00342,15-Feb,West,Arvada,Beverages,Carrot,150.0,2.0,617.0
266,ID00235,15-Dec,South,Murfreesboro,Snacks,Potato Chips,40.0,2.0,66.0
267,ID00212,23-Mar,West,Fullerton,Bars,Banana,280.0,3.0,725.0
268,ID07378,15-Jun,South,Oklahoma City,Bars,Carrot,99.0,3.0,129.0
269,ID07401,29-Jan,South,Dallas,Bars,Carrot,24.0,3.0,89.0
270,ID00149,30-Nov,West,Lancaster,Snacks,Potato Chips,290.0,2.0,590.0
271,ID00302,19-Sep,West,Salem,Bars,Banana,157.0,1.0,400.0
272,ID07467,24-Dec,West,Sacramento,Snacks,Potato Chips,121.0,2.0,524.0
273,ID07547,21-Feb,South,McKinney,Snacks,Pretzels,258.0,1.0,475.0
274,ID00311,12-Feb,South,Broken Arrow,Bread and bakery products,Carrot,148.0,2.0,182.0
275,ID00141,7-Apr,South,South Fulton,Cookies,Chocolate Chip,70.0,2.0,457.0
276,ID00257,25-Oct,South,Hollywood,Bread and bakery products,Carrot,233.0,1.0,353.0
277,ID07434,2-Mar,West,Aurora,Cookies,Arrowroot,152.0,3.0,579.0
278,ID07540,18-Nov,West,Torrance,Snacks,Potato Chips,126.0,3.0,340.0
279,ID07515,24-Dec,West,Modesto,Crackers,Whole Wheat,46.0,3.0,364.0
280,ID00106,6-Jun,South,Palm Bay,Cookies,Arrowroot,42.0,3.0,220.0
281,ID07500,1-Oct,South,Atlanta,Cookies,Oatmeal Raisin,162.0,3.0,698.0
282,ID07583,22-Sep,South,Winston–Salem,Cookies,Oatmeal Raisin,297.0,3.0,789.0
283,ID00063,19-Jan,West,Tempe,Bars,Banana,272.0,2.0,472.0
284,ID07402,1-Apr,South,Jacksonville,Cookies,Arrowroot,62.0,3.0,516.0
285,ID00378,27-Feb,West,Hillsboro,Prepared and preserved foods,Carrot,241.0,2.0,542.0
286,ID00157,17-Mar,Northeast,Hartford,Bars,Banana,107.0,3.0,374.0
287,ID00419,4-May,South,Wichita Falls,Cookies,Oatmeal Raisin,62.0,2.0,107.0
288,ID00348,19-Oct,South,Mesquite,Prepared and preserved foods,Carrot,70.0,2.0,255.0
289,ID00268,13-Jan,West,Eugene,Beverages,Carrot,221.0,2.0,529.0
290,ID07366,15-Jun,West,San Diego,Bars,Bran,145.0,2.0,390.0
291,ID00114,16-Feb,West,Huntington Beach,Cookies,Arrowroot,49.0,2.0,333.0
292,ID07424,28-May,Midwest,Omaha,Cookies,Chocolate Chip,258.0,2.0,503.0
293,ID00101,13-Sep,South,Macon,Cookies,Arrowroot,219.0,2.0,670.0
294,ID00522,29-Aug,Northeast,Lynn,Beverages,Carrot,157.0,1.0,365.0
295,ID00486,14-Aug,South,Concord,Bars,Banana,220.0,1.0,676.0
296,ID00289,12-Nov,Northeast,New Haven,Snacks,Pretzels,259.0,1.0,309.0
297,ID00415,30-Jun,West,Greeley,Prepared and preserved foods,Carrot,240.0,2.0,592.0
298,ID07373,1-Feb,South,Fort Worth,Bars,Carrot,284.0,2.0,509.0
299,ID00363,5-Aug,South,Pompano Beach,Bars,Banana,266.0,1.0,388.0
300,ID07488,28-Feb,Midwest,Detroit,Bars,Carrot,282.0,3.0,675.0
301,ID00255,4-Jan,South,Miramar,Beverages,Carrot,36.0,2.0,213.0
302,ID00106,10-May,West,Scottsdale,Cookies,Oatmeal Raisin,47.0,2.0,86.0
303,ID00356,13-Oct,Midwest,Rochester,Prepared and preserved foods,Carrot,170.0,2.0,564.0
304,ID00460,19-May,West,Costa Mesa,Prepared and preserved foods,Carrot,64.0,2.0,387.0
305,ID07360,1-Feb,West,San Diego,Bars,Carrot,118.0,2.0,123.0
306,ID00502,3-Feb,West,Ventura,Beverages,Carrot,50.0,2.0,277.0
307,ID00377,27-Jul,Midwest,Lansing,Prepared and preserved foods,Carrot,66.0,2.0,213.0
